"Figure 2 - Part des femmes dans les disciplines scientifiques à l'université","","","","","","",""
"","","en %","","","","",""
"","2010-2011","2020-2021","","","","",""
"Universités - Formations scientifiques y compris ingénieurs","39.1","42.0","","","","",""
"Sciences fondamentales et applications ","28.0","30.5","","","","",""
"Sciences de la Vie, de la santé, de la Terre et de l'Univers ","59.5","63.5","","","","",""
"Plurisciences1","48.5","58.9","","","","",""
"Universités - Santé","62.3","65.6","","","","",""
"Médecine et odontologie","61.1","64.3","","","","",""
"Pharmacie","67.0","65.6","","","","",""
"Plurisanté (Paces et Pass2)","63.2","69.9","","","","",""
"DUT - Spécialités de la production et de l'informatique","21.7","23.1","","","","",""
"Ensemble","46.4","48.7","","","","",""
"1. Combine plusieurs disciplines : physique, chimie, mathématiques, sciences de la Terre, sciences de la Vie.","","","","","","",""
"2. Le Pass (parcours accès santé spécifique) remplace la Paces (Première année commune aux études de santé) à la rentrée 2020.","","","","","","",""
"Lecture : en 2020-2021, 65,6 % des étudiants dans une discipline de santé à l'université sont des femmes.","","","","","","",""
"Champ : France hors Mayotte en 2010-2011, France en 2020-2021, secteurs public et privé.","","","","","","",""
"Source : Mesri-Sies - systèmes d'information SISE et Scolarité ; enquêtes sur les établissements d'enseignement supérieur ; enquêtes spécifiques aux ministères en charge de l’agriculture, de la santé et des affaires sociales et de la culture.","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
"","","","","","","",""
