"37.02 - Part des femmes dans les effectifs de recherche des administrations en 2022 (en %)","","",""
"","","",""
"","Chercheurs","Personnels de soutien","Ensemble"
"Centres hospitaliers (CHU, CLCC)","0.5736368062","0.8100457956","0.704935332"
"Inserm","0.5451832907","0.7127263046","0.6196732955000001"
"Institut Pasteur - Paris","0.5319148936","0.6675603217","0.5954773869"
"Inrae","0.4890431764","0.5588844622","0.5293090775"
"IRD","0.4003759398","0.6209540034","0.5160857909"
"Ensemble des administrations","0.4151970998","0.631333954","0.4834982616"
"Ifremer","0.4107142857","0.5079545455","0.4621394231"
"Cirad","0.4508143322","0.5761904762","0.4777493606"
"Etablissements d'enseignement supérieur et de recherche sous tutelle du MESR","0.4118185284","0.5938555908000001","0.4433547667"
"CNRS","0.3612239116","0.5673108418","0.4365977838"
"Cnes","0.296521259","0.6185286104","0.3893909627"
"CEA - Civil","0.3331160365","0.4202898551","0.3590766414"
"Inria","0.2247796278","0.6356487548999999","0.3365418895"
"Onera","0.1865569273","0.4250814332","0.2572393822"
"","","",""
"Source :","MESR-DGESIP/DGRI-SIES","",""
"Champ :","France entière","",""
"","","",""
"Données extraites de la publication état de l'Enseignement supérieur, de la Recherche et de l'Innovation en France n°18","","",""
"https://publication.enseignementsup-recherche.gouv.fr/eesr/FR/EESR18_R_37/la_parite_dans_la_recherche/","","",""
